"sequence","Network_annotation","EggNOG_annotation"
"isogroup7907","isogroup7907|blue kME=0.33|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","myogenic differentiation 1"
"isogroup7910","isogroup7910|darkgrey kME=0.36|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.","DEAH (Asp-Glu-Ala-His) box polypeptide 15"
"isogroup7930","isogroup7930|darkgreen kME=0.42|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",""
"isogroup7934","isogroup7934|darkgreen kME=0.41|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","chromosome 19 open reading frame 70"
"isogroup7944","isogroup7944|skyblue kME=0.46|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup7953","isogroup7953|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup7955","isogroup7955|brown kME=0.37|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","zinc finger, AN1-type domain"
"isogroup7959","isogroup7959|red kME=0.29|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup7964","isogroup7964|black kME=0.39|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","histone deacetylase 1"
"isogroup7966","isogroup7966|black kME=0.34|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup7969","isogroup7969|black kME=0.68|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","phosducin"
"isogroup7978","isogroup7978|cyan kME=0.67|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","epithelial cell adhesion"
"isogroup798","isogroup798|skyblue kME=0.36|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup7982","isogroup7982|darkorange kME=0.34|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup7983","isogroup7983|green kME=0.67|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Ribosomal protein S18"
"isogroup7989","isogroup7989|darkmagenta kME=0.45|Associations:(R2=-0.32) max speed in response to acoustic stimulus.",NA
"isogroup7994","isogroup7994|red kME=0.7|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1"
"isogroup7997","isogroup7997|blue kME=0.31|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","phosphatidylinositol glycan anchor biosynthesis, class S"
"isogroup80","isogroup80|black kME=0.76|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup8002","isogroup8002|darkred kME=0.62|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8008","isogroup8008|greenyellow kME=0.71|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup8013","isogroup8013|greenyellow kME=0.78|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)"
"isogroup8015","isogroup8015|darkorange kME=0.5|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Pfam:efhand"
"isogroup8027","isogroup8027|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6"
"isogroup8028","isogroup8028|greenyellow kME=0.61|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","leiomodin 3 (fetal)"
"isogroup8029","isogroup8029|greenyellow kME=0.31|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","abhydrolase domain containing 12"
"isogroup803","isogroup803|brown kME=0.39|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","ATP-binding cassette, sub-family G (WHITE), member 1"
"isogroup8030","isogroup8030|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8031","isogroup8031|greenyellow kME=0.47|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","actinin, alpha 1"
"isogroup8048","isogroup8048|blue kME=0.41|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup8055","isogroup8055|darkgreen kME=0.51|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","thyrotrophic embryonic factor"
"isogroup8065","isogroup8065|greenyellow kME=0.75|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Myozenin 2"
"isogroup8069","isogroup8069|darkgreen kME=0.55|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","myozenin 1"
"isogroup8079","isogroup8079|darkorange kME=0.85|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup8088","isogroup8088|orangered4 kME=0.44|Associations:(R2=+0.3) time between assay and RNA collection; (R2=-0.4) response duration to acoustic stimulus; (R2=-0.34) max speed in response to acoustic stimulus.","frataxin"
"isogroup8093","isogroup8093|skyblue kME=0.59|Associations:(R2=-0.38) response duration to acoustic stimulus.","secretogranin II"
"isogroup8095","isogroup8095|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8099","isogroup8099|brown kME=0.35|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","cytochrome c oxidase subunit IV isoform 2"
"isogroup8112","isogroup8112|red kME=0.41|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","solute carrier family 34 (sodium phosphate), member 2"
"isogroup8118","isogroup8118|green kME=0.31|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)"
"isogroup812","isogroup812|darkgreen kME=0.71|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","Inhibitor of growth family, member 5"
"isogroup8122","isogroup8122|cyan kME=0.52|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","dual specificity phosphatase 6"
"isogroup8137","isogroup8137|skyblue kME=0.35|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup8142","isogroup8142|skyblue kME=0.49|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup8144","isogroup8144|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup815","isogroup815|darkgreen kME=0.48|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","calreticulin 3"
"isogroup816","isogroup816|darkred kME=0.46|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","proline and serine rich 1"
"isogroup8160","isogroup8160|green kME=0.44|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup8167","isogroup8167|brown kME=0.86|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","calcium binding and coiled-coil domain 1"
"isogroup8181","isogroup8181|darkorange kME=0.44|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","delta notch-like EGF repeat containing"
"isogroup8194","isogroup8194|red kME=0.77|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Phospholipase A2, group XIIB"
"isogroup8198","isogroup8198|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8213","isogroup8213|green kME=0.68|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup8215","isogroup8215|blue kME=0.41|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","threonyl-tRNA synthetase"
"isogroup8216","isogroup8216|darkred kME=0.37|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8221","isogroup8221|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae)"
"isogroup8224","isogroup8224|darkmagenta kME=0.49|Associations:(R2=-0.32) max speed in response to acoustic stimulus.",NA
"isogroup823","isogroup823|brown kME=0.32|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup8235","isogroup8235|darkgrey kME=0.51|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.","This protein is an auxiliary protein of DNA polymerase delta and is involved in the control of eukaryotic DNA replication by increasing the polymerase's processibility during elongation of the leading strand (By similarity)"
"isogroup8252","isogroup8252|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8256","isogroup8256|black kME=0.71|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","retina and pineal gland (Arrestin)"
"isogroup8275","isogroup8275|cyan kME=0.47|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"isogroup8280","isogroup8280|darkgrey kME=0.42|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8282","isogroup8282|darkorange kME=0.52|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup8295","isogroup8295|blue kME=0.3|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup8298","isogroup8298|darkorange kME=0.53|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","ribosomal protein S4X pseudogene 21"
"isogroup8302","isogroup8302|red kME=0.29|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","IlGF"
"isogroup8318","isogroup8318|green kME=0.5|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and the central stalk which is part of the complex rotary element. The gamma subunit protrudes into the catalytic domain formed of alpha(3)beta(3). Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits (By similarity)"
"isogroup8324","isogroup8324|darkgrey kME=0.37|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8328","isogroup8328|red kME=0.47|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup8334","isogroup8334|darkred kME=0.49|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8336","isogroup8336|skyblue kME=0.62|Associations:(R2=-0.38) response duration to acoustic stimulus.","regulator of G-protein signaling"
"isogroup8337","isogroup8337|red kME=0.44|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup8342","isogroup8342|skyblue kME=0.48|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup8343","isogroup8343|greenyellow kME=0.28|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","prenyl (decaprenyl) diphosphate synthase, subunit 2"
"isogroup835","isogroup835|darkred kME=0.28|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","translocase of outer mitochondrial membrane 20 homolog (yeast)"
"isogroup8353","isogroup8353|darkorange kME=0.34|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup8355","isogroup8355|red kME=0.48|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup8359","isogroup8359|darkorange kME=0.51|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup8377","isogroup8377|blue kME=0.28|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup8378","isogroup8378|darkorange kME=0.49|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","histone deacetylase"
"isogroup8381","isogroup8381|darkred kME=0.33|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8385","isogroup8385|darkgrey kME=0.37|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8390","isogroup8390|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8398","isogroup8398|darkgrey kME=0.42|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8403","isogroup8403|darkorange kME=0.27|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup841","isogroup841|blue kME=0.45|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup842","isogroup842|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8427","isogroup8427|blue kME=0.43|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","UDP-glucoronosyl and UDP-glucosyl transferase"
"isogroup8436","isogroup8436|blue kME=0.33|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","Galactokinase 2"
"isogroup8438","isogroup8438|black kME=0.38|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","minichromosome maintenance complex component 6"
"isogroup8440","isogroup8440|skyblue kME=0.5|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup8442","isogroup8442|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","mitogen-activated protein kinase kinase kinase 5"
"isogroup8443","isogroup8443|darkred kME=0.51|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8469","isogroup8469|greenyellow kME=0.5|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup8472","isogroup8472|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8489","isogroup8489|darkred kME=0.37|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","nuclear receptor subfamily 2, group F, member 2"
"isogroup8497","isogroup8497|blue kME=0.47|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup850","isogroup850|blue kME=0.31|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup8504","isogroup8504|darkred kME=0.42|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","latrophilin 3"
"isogroup8506","isogroup8506|red kME=0.49|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","olfactomedin 4"
"isogroup8519","isogroup8519|blue kME=0.32|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","5'-nucleotidase, cytosolic III-like"
"isogroup8523","isogroup8523|skyblue kME=0.47|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup8534","isogroup8534|greenyellow kME=0.72|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","troponin T type 3 (skeletal, fast)"
"isogroup8536","isogroup8536|skyblue kME=0.62|Associations:(R2=-0.38) response duration to acoustic stimulus.","poly (ADP-ribose) polymerase family, member 6"
"isogroup8548","isogroup8548|plum1 kME=0.42|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.","Betaine--homocysteine S-methyltransferase"
"isogroup8557","isogroup8557|brown kME=0.36|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup8558","isogroup8558|darkorange kME=0.38|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","RAP2A, member of RAS oncogene family"
"isogroup8559","isogroup8559|darkgreen kME=0.47|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","S100 calcium binding protein A1"
"isogroup8572","isogroup8572|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8576","isogroup8576|green kME=0.69|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup8582","isogroup8582|darkorange kME=0.3|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","mitofusin 2"
"isogroup8584","isogroup8584|black kME=0.44|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup8592","isogroup8592|brown kME=0.34|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup8597","isogroup8597|green kME=0.5|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Beta/Gamma crystallin"
"isogroup8600","isogroup8600|darkorange kME=0.38|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup8611","isogroup8611|greenyellow kME=0.31|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup8614","isogroup8614|skyblue kME=0.47|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup8635","isogroup8635|midnightblue kME=0.47|Associations:(R2=+0.42) mean meandering in response to visual stimulus; (R2=-0.32) time between assay and RNA collection.","SO"
"isogroup864","isogroup864|darkorange kME=0.37|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","homeobox"
"isogroup8643","isogroup8643|cyan kME=0.41|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","Zinc finger, C2H2 type"
"isogroup8650","isogroup8650|greenyellow kME=0.56|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","cholinergic receptor, nicotinic, alpha 1 (muscle)"
"isogroup8653","isogroup8653|green kME=0.28|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup8671","isogroup8671|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup87","isogroup87|blue kME=0.28|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup8700","isogroup8700|darkred kME=0.45|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8706","isogroup8706|blue kME=0.3|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup8713","isogroup8713|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8734","isogroup8734|darkgreen kME=0.56|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"isogroup8742","isogroup8742|lightsteelblue1 kME=0.47|Associations:(R2=-0.33) time to max speed in response to acoustic stimulus.","pyridine nucleotide-disulphide oxidoreductase domain 2"
"isogroup8752","isogroup8752|darkred kME=0.39|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8770","isogroup8770|black kME=0.61|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","RasGEF domain family, member"
"isogroup8787","isogroup8787|green kME=0.31|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","glutathione peroxidase 3 (plasma)"
"isogroup879","isogroup879|darkred kME=0.46|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup8791","isogroup8791|blue kME=0.32|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup8799","isogroup8799|green kME=0.72|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Ribosomal protein L4"
"isogroup8822","isogroup8822|black kME=0.33|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","ZnF_C2H2"
"isogroup8839","isogroup8839|green kME=0.44|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Protein kinase, AMP-activated, beta 1 non-catalytic subunit"
"isogroup8840","isogroup8840|blue kME=0.29|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","chromosome 17 open reading frame 61"
"isogroup8842","isogroup8842|darkgrey kME=0.58|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
