"","sequence","NI_annotation","EggNOG_annotation"
"1","isogroup10","isogroup10|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"7743","isogroup3698","isogroup3698|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"7744","isogroup3699","isogroup3699|saddlebrown kME=0.56|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","stathmin-like 4"
"7745","isogroup36990","isogroup36990|darkgrey kME=0.45|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"7746","isogroup3701","isogroup3701|darkgrey kME=0.41|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"7747","isogroup37012","isogroup37012|darkred kME=0.39|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7748","isogroup3703","isogroup3703|darkgrey kME=0.54|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"7749","isogroup37044","isogroup37044|blue kME=0.29|Associations:(R2=+0.49) response latency.","NudC domain containing 2"
"7750","isogroup37047","isogroup37047|blue kME=0.41|Associations:(R2=+0.49) response latency.","smoothelin-like 1"
"7751","isogroup37054","isogroup37054|brown kME=0.39|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","ubiquitin specific peptidase 47"
"7752","isogroup37058","isogroup37058|plum1 kME=0.41|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.",NA
"7753","isogroup37062","isogroup37062|skyblue kME=0.45|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"7754","isogroup3709","isogroup3709|red kME=0.54|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","meprin A, alpha (PABA peptide hydrolase)"
"7755","isogroup37094","isogroup37094|darkgreen kME=0.61|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"7756","isogroup37096","isogroup37096|skyblue kME=0.36|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"7757","isogroup37100","isogroup37100|darkred kME=0.33|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7758","isogroup3711","isogroup3711|darkorange kME=0.48|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"7759","isogroup37110","isogroup37110|skyblue kME=0.43|Associations:(R2=-0.38) response duration to acoustic stimulus.","protocadherin 11 Y-linked"
"7760","isogroup37128","isogroup37128|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.","collagen, type XI, alpha 1"
"7761","isogroup37134","isogroup37134|skyblue kME=0.34|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"7762","isogroup3714","isogroup3714|darkorange kME=0.42|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"7763","isogroup3715","isogroup3715|brown kME=0.29|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"7764","isogroup3716","isogroup3716|blue kME=0.35|Associations:(R2=+0.49) response latency.","pancreatic progenitor cell differentiation and proliferation factor homolog (zebrafish)"
"7765","isogroup37163","isogroup37163|saddlebrown kME=0.61|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","SHC (Src homology 2 domain containing) transforming protein 1"
"7766","isogroup37168","isogroup37168|saddlebrown kME=0.51|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","La ribonucleoprotein domain family, member 1B"
"7767","isogroup37179","isogroup37179|saddlebrown kME=0.72|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","enolase 2 (gamma, neuronal)"
"7768","isogroup3720","isogroup3720|darkred kME=0.35|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7769","isogroup37208","isogroup37208|skyblue kME=0.45|Associations:(R2=-0.38) response duration to acoustic stimulus.","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1"
"7770","isogroup37213","isogroup37213|skyblue kME=0.44|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"7771","isogroup37262","isogroup37262|darkgrey kME=0.48|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"7772","isogroup3728","isogroup3728|green kME=0.67|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"7773","isogroup37289","isogroup37289|darkgreen kME=0.52|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"7774","isogroup3729","isogroup3729|blue kME=0.4|Associations:(R2=+0.49) response latency.","Plectin repeat"
"7775","isogroup3734","isogroup3734|brown kME=0.4|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","sodium- and chloride-dependent creatine transporter 1-like"
"7776","isogroup3737","isogroup3737|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7777","isogroup3739","isogroup3739|darkred kME=0.25|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7778","isogroup3741","isogroup3741|blue kME=0.56|Associations:(R2=+0.49) response latency.",NA
"7779","isogroup3745","isogroup3745|green kME=0.63|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","ATP synthase, H transporting, mitochondrial Fo complex, subunit d"
"7780","isogroup3748","isogroup3748|darkred kME=0.41|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7781","isogroup3749","isogroup3749|brown kME=0.29|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"7782","isogroup3750","isogroup3750|green kME=0.8|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed"
"7783","isogroup3769","isogroup3769|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7784","isogroup3779","isogroup3779|darkorange kME=0.77|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Beta/Gamma crystallin"
"7785","isogroup3803","isogroup3803|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7786","isogroup3806","isogroup3806|darkgreen kME=0.61|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","Reticulon 4"
"7787","isogroup3808","isogroup3808|darkgreen kME=0.42|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","sterol O-acyltransferase 2"
"7788","isogroup3809","isogroup3809|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","deleted in bladder cancer 1"
"7789","isogroup3815","isogroup3815|blue kME=0.67|Associations:(R2=+0.49) response latency.","peptidyl-prolyl cis-trans isomerase"
"7790","isogroup3820","isogroup3820|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.","GAR1 ribonucleoprotein homolog (yeast)"
"7791","isogroup3828","isogroup3828|black kME=0.8|Associations:(R2=+0.29) mean speed in response to visual stimulus.","retina and pineal gland (Arrestin)"
"7792","isogroup3832","isogroup3832|darkred kME=0.57|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7793","isogroup3839","isogroup3839|darkorange kME=0.46|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"7794","isogroup3840","isogroup3840|blue kME=0.47|Associations:(R2=+0.49) response latency.",NA
"7795","isogroup3849","isogroup3849|darkgrey kME=0.5|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"7796","isogroup3853","isogroup3853|brown kME=0.44|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","kelch-like ECH-associated protein 1"
"7797","isogroup3871","isogroup3871|darkred kME=0.34|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7798","isogroup3875","isogroup3875|darkgreen kME=0.47|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","myozenin 1"
"7799","isogroup3881","isogroup3881|darkred kME=0.44|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7800","isogroup3884","isogroup3884|greenyellow kME=0.33|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","olfactomedin-like 1"
"7801","isogroup3885","isogroup3885|cyan kME=0.44|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"7802","isogroup3888","isogroup3888|green kME=0.39|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"7803","isogroup389","isogroup389|green kME=0.63|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Heat shock 70kDa protein 8"
"7804","isogroup3891","isogroup3891|black kME=0.39|Associations:(R2=+0.29) mean speed in response to visual stimulus.","Septin"
"7805","isogroup3894","isogroup3894|darkred kME=0.38|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7806","isogroup3921","isogroup3921|darkmagenta kME=0.54|Associations:(R2=-0.32) max speed in response to acoustic stimulus.",NA
"7807","isogroup3935","isogroup3935|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7808","isogroup3944","isogroup3944|black kME=0.3|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"7809","isogroup3946","isogroup3946|green kME=0.34|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","kinectin 1 (kinesin receptor)"
"7810","isogroup395","isogroup395|darkorange kME=0.67|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"7811","isogroup4003","isogroup4003|blue kME=0.55|Associations:(R2=+0.49) response latency.",NA
"7812","isogroup4007","isogroup4007|black kME=0.3|Associations:(R2=+0.29) mean speed in response to visual stimulus.","alkB, alkylation repair homolog 1 (E. coli)"
"7813","isogroup4019","isogroup4019|green kME=0.32|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"7814","isogroup4031","isogroup4031|blue kME=0.77|Associations:(R2=+0.49) response latency.",NA
"7815","isogroup4047","isogroup4047|darkred kME=0.42|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7816","isogroup406","isogroup406|green kME=0.82|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Ribosomal protein S19"
"7817","isogroup4061","isogroup4061|darkgrey kME=0.42|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"7818","isogroup4070","isogroup4070|skyblue kME=0.45|Associations:(R2=-0.38) response duration to acoustic stimulus.","CAP-Gly domain"
"7819","isogroup409","isogroup409|darkorange kME=0.33|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","ZnF_C2H2"
"7820","isogroup4090","isogroup4090|darkred kME=0.54|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","POU"
"7821","isogroup4093","isogroup4093|cyan kME=0.74|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","immediate early response 2"
"7822","isogroup4096","isogroup4096|darkred kME=0.35|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7823","isogroup4122","isogroup4122|lightcyan1 kME=0.41|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.","X-box binding protein 1"
"7824","isogroup4131","isogroup4131|midnightblue kME=0.38|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"7825","isogroup4134","isogroup4134|darkred kME=0.57|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7826","isogroup4142","isogroup4142|blue kME=0.3|Associations:(R2=+0.49) response latency.",NA
"7827","isogroup4157","isogroup4157|lightcyan1 kME=0.64|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.","Thymosin beta 4"
"7828","isogroup4182","isogroup4182|greenyellow kME=0.61|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"7829","isogroup4193","isogroup4193|skyblue kME=0.6|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"7830","isogroup4195","isogroup4195|greenyellow kME=0.3|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","pleckstrin homology-like domain, family A, member 3"
"7831","isogroup4201","isogroup4201|darkred kME=0.36|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7832","isogroup4206","isogroup4206|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","NK2 homeobox 2"
"7833","isogroup4214","isogroup4214|skyblue kME=0.65|Associations:(R2=-0.38) response duration to acoustic stimulus.","adenomatous polyposis coli"
"7834","isogroup4223","isogroup4223|darkorange kME=0.32|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"7835","isogroup4245","isogroup4245|brown kME=0.36|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","G protein pathway suppressor 1"
"7836","isogroup4247","isogroup4247|blue kME=0.54|Associations:(R2=+0.49) response latency.",NA
"7837","isogroup4248","isogroup4248|darkred kME=0.4|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7838","isogroup4253","isogroup4253|darkgreen kME=0.42|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","squamous cell carcinoma antigen"
"7839","isogroup4254","isogroup4254|black kME=0.34|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"7840","isogroup4256","isogroup4256|darkgrey kME=0.45|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"7841","isogroup4260","isogroup4260|brown kME=0.31|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"7842","isogroup4280","isogroup4280|brown kME=0.3|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","cullin 2"
"7843","isogroup4283","isogroup4283|blue kME=0.27|Associations:(R2=+0.49) response latency.",NA
"7844","isogroup4285","isogroup4285|blue kME=0.32|Associations:(R2=+0.49) response latency.","Beta-microseminoprotein (PSP-94)"
"7845","isogroup4310","isogroup4310|cyan kME=0.59|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","pleckstrin homology-like domain, family A, member 2"
"7846","isogroup4311","isogroup4311|skyblue kME=0.38|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"7847","isogroup4322","isogroup4322|greenyellow kME=0.31|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Ribosome associated membrane protein RAMP4"
"7848","isogroup4325","isogroup4325|skyblue kME=0.47|Associations:(R2=-0.38) response duration to acoustic stimulus.","PDZ domain (Also known as DHR or GLGF)"
"7849","isogroup4327","isogroup4327|midnightblue kME=0.46|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"7850","isogroup4329","isogroup4329|skyblue kME=0.6|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"7851","isogroup4330","isogroup4330|red kME=0.53|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"7852","isogroup4336","isogroup4336|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","GRB2-associated binding protein 2"
"7853","isogroup4338","isogroup4338|darkorange kME=0.68|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","myristoylated alanine-rich protein kinase C substrate"
"7854","isogroup4341","isogroup4341|darkgreen kME=0.41|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","histone deacetylase 1"
"7855","isogroup4351","isogroup4351|brown kME=0.44|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Hepcidin"
"7856","isogroup4352","isogroup4352|cyan kME=0.47|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","Inherit from chorNOG: Midnolin"
"7857","isogroup4376","isogroup4376|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7858","isogroup4408","isogroup4408|darkred kME=0.43|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7859","isogroup4416","isogroup4416|black kME=0.34|Associations:(R2=+0.29) mean speed in response to visual stimulus.","Male sterility protein"
"7860","isogroup4429","isogroup4429|green kME=0.28|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"7861","isogroup444","isogroup444|blue kME=0.28|Associations:(R2=+0.49) response latency.","actin related protein 2 3 complex, subunit 3"
"7862","isogroup4460","isogroup4460|blue kME=0.32|Associations:(R2=+0.49) response latency.",NA
"7863","isogroup4469","isogroup4469|red kME=0.37|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"7864","isogroup4485","isogroup4485|darkorange kME=0.57|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","COMM domain containing 4"
"7865","isogroup450","isogroup450|skyblue kME=0.33|Associations:(R2=-0.38) response duration to acoustic stimulus.","serine threonine-protein phosphatase 4 regulatory subunit 1-like"
"7866","isogroup4507","isogroup4507|greenyellow kME=0.36|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"7867","isogroup4508","isogroup4508|skyblue kME=0.39|Associations:(R2=-0.38) response duration to acoustic stimulus.","RAB3 GTPase activating protein subunit 2 (non-catalytic)"
"7868","isogroup4517","isogroup4517|blue kME=0.36|Associations:(R2=+0.49) response latency.",NA
"7869","isogroup4519","isogroup4519|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7870","isogroup4520","isogroup4520|darkgreen kME=0.43|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","ryanodine receptor 3"
"7871","isogroup4533","isogroup4533|brown kME=0.66|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"7872","isogroup4537","isogroup4537|darkred kME=0.43|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","tubby like protein 4"
"7873","isogroup4538","isogroup4538|darkorange kME=0.32|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"7874","isogroup4540","isogroup4540|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7875","isogroup4547","isogroup4547|darkorange kME=0.36|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","peptidase domain containing associated with muscle regeneration 1"
"7876","isogroup4559","isogroup4559|darkmagenta kME=0.49|Associations:(R2=-0.32) max speed in response to acoustic stimulus.","Transmembrane protein 120B"
"7877","isogroup4571","isogroup4571|cyan kME=0.57|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","EPH receptor A2"
"7878","isogroup4589","isogroup4589|blue kME=0.33|Associations:(R2=+0.49) response latency.",NA
"7879","isogroup4594","isogroup4594|darkorange kME=0.3|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"7880","isogroup4597","isogroup4597|saddlebrown kME=0.44|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated"
"7881","isogroup4604","isogroup4604|cyan kME=0.64|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","START"
"7882","isogroup4611","isogroup4611|darkgreen kME=0.54|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","IG_like"
"7883","isogroup4630","isogroup4630|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"7884","isogroup464","isogroup464|red kME=0.29|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"7885","isogroup4648","isogroup4648|saddlebrown kME=0.5|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","Intermediate filament head (DNA binding) region"
"7886","isogroup465","isogroup465|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7887","isogroup4672","isogroup4672|black kME=0.5|Associations:(R2=+0.29) mean speed in response to visual stimulus.","Kruppel-like factor 6"
"7888","isogroup4676","isogroup4676|black kME=0.3|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"7889","isogroup4698","isogroup4698|darkorange kME=0.38|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",""
"7890","isogroup471","isogroup471|blue kME=0.53|Associations:(R2=+0.49) response latency.",NA
"7891","isogroup4718","isogroup4718|skyblue kME=0.46|Associations:(R2=-0.38) response duration to acoustic stimulus.","P21-Rho-binding domain"
"7892","isogroup4745","isogroup4745|green kME=0.39|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","chromosome 5 open reading frame 43"
